Generation,Best CP,Best CO,Best CO_Score,Mean CO_Score,Routes
121,15.54335260115607,71.0,71.0,116.0,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
122,15.54335260115607,71.0,71.0,137.48837209302326,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
123,15.54335260115607,71.0,71.0,130.84615384615384,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
124,15.54335260115607,71.0,71.0,116.62162162162163,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
125,15.54335260115607,71.0,71.0,111.4090909090909,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
126,15.54335260115607,71.0,71.0,128.95238095238096,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
127,15.54335260115607,71.0,71.0,105.97058823529412,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
128,15.54335260115607,71.0,71.0,122.78048780487805,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
129,15.54335260115607,71.0,71.0,117.83333333333333,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
130,15.54335260115607,71.0,71.0,144.9318181818182,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
131,15.54335260115607,71.0,71.0,115.76923076923077,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
132,15.54335260115607,71.0,71.0,119.43181818181819,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
133,15.54335260115607,71.0,71.0,117.76315789473684,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
134,15.54335260115607,71.0,71.0,132.4255319148936,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
135,15.54335260115607,71.0,71.0,137.58333333333334,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
136,15.54335260115607,71.0,71.0,125.8780487804878,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
137,15.54335260115607,71.0,71.0,113.3157894736842,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
138,15.54335260115607,71.0,71.0,118.39024390243902,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
139,15.54335260115607,71.0,71.0,111.61904761904762,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
140,15.54335260115607,71.0,71.0,127.74358974358974,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
141,15.54335260115607,71.0,71.0,147.26190476190476,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
142,15.54335260115607,71.0,71.0,131.86486486486487,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
143,15.54335260115607,71.0,71.0,129.6590909090909,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
144,15.54335260115607,71.0,71.0,126.0,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
