Generation,Best CP,Best CO,Best Score,Mean Score,Routes
68,12.321772639691714,99.0,229423.5,275462.6538461539,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
69,12.321772639691714,99.0,229423.5,305043.43902439025,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
70,12.321772639691714,99.0,229423.5,295934.89024390245,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
71,12.321772639691714,99.0,229423.5,297496.60975609755,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
72,12.321772639691714,99.0,229423.5,303342.23076923075,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
73,12.321772639691714,99.0,229423.5,271213.1842105263,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
74,12.321772639691714,99.0,229423.5,286617.0340909091,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
75,12.321772639691714,99.0,229423.5,343669.4673913043,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
76,12.321772639691714,99.0,229423.5,300529.5348837209,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
77,12.321772639691714,99.0,229423.5,271519.4166666667,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
78,12.321772639691714,99.0,229423.5,286740.75,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
79,12.321772639691714,99.0,229423.5,279280.57692307694,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
80,12.321772639691714,99.0,229423.5,304871.475,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
81,12.321772639691714,99.0,229423.5,259870.1911764706,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
82,12.321772639691714,99.0,229423.5,296839.64285714284,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
83,12.321772639691714,99.0,229423.5,290871.075,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
84,12.321772639691714,99.0,229423.5,300643.67045454547,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
85,12.321772639691714,99.0,229423.5,300195.75,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
86,12.321772639691714,99.0,229423.5,279021.53571428574,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
87,12.321772639691714,99.0,229423.5,306368.12790697673,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
88,12.321772639691714,99.0,229423.5,303828.6,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
89,12.321772639691714,99.0,229423.5,291049.2,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
90,12.321772639691714,99.0,229423.5,297703.53658536583,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
91,12.321772639691714,99.0,229423.5,288311.0,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
92,12.321772639691714,99.0,229423.5,290317.93333333335,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
93,12.321772639691714,99.0,229423.5,276415.53658536583,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
94,12.321772639691714,99.0,229423.5,283450.2162162162,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
95,12.321772639691714,99.0,229423.5,280482.32608695654,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
96,12.321772639691714,99.0,229423.5,282689.57692307694,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
