Generation,Best CP,Best CO,Best CP_Score,Mean CP_Score,Routes
54,10.265253692999357,253.0,10.265253692999357,11.292268786127167,"[[10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3, 6], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
55,10.265253692999357,253.0,10.265253692999357,11.355131663455364,"[[10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3, 6], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
56,10.265253692999357,253.0,10.265253692999357,11.541216386026639,"[[10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3, 6], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
57,10.265253692999357,253.0,10.265253692999357,11.907951188182402,"[[10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3, 6], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
58,10.258188824662813,254.0,10.258188824662813,10.884833830770585,"[[7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4, 2], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
59,10.255619781631342,270.0,10.255619781631342,11.208051490181608,"[[7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4, 2], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 8]]"
60,10.255619781631342,270.0,10.255619781631342,11.4656925711839,"[[7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4, 2], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 8]]"
61,10.255619781631342,270.0,10.255619781631342,11.522608945189196,"[[7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4, 2], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 8]]"
62,10.255619781631342,270.0,10.255619781631342,11.282348761256644,"[[7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4, 2], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 8]]"
63,10.255619781631342,270.0,10.255619781631342,11.40976236351959,"[[7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4, 2], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 8]]"
