Generation,Best CP,Best CO,Best CO_Score,Mean CO_Score,Routes
62,15.611432241490045,68.0,68.0,117.85106382978724,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
63,15.611432241490045,68.0,68.0,129.16,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
64,15.611432241490045,68.0,68.0,140.0212765957447,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
65,15.611432241490045,68.0,68.0,123.38775510204081,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
66,15.611432241490045,68.0,68.0,116.5,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
67,15.611432241490045,68.0,68.0,110.93617021276596,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
68,15.611432241490045,68.0,68.0,133.24,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
69,15.611432241490045,68.0,68.0,140.28,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
70,15.611432241490045,68.0,68.0,121.98039215686275,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
71,15.611432241490045,68.0,68.0,109.46808510638297,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
72,15.611432241490045,68.0,68.0,134.87234042553192,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
73,15.611432241490045,68.0,68.0,127.44680851063829,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
74,15.611432241490045,68.0,68.0,149.0612244897959,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
75,15.611432241490045,68.0,68.0,131.62,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
76,15.611432241490045,68.0,68.0,137.9375,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
77,15.611432241490045,68.0,68.0,117.91836734693878,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
